Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2905;Lechfeld;TT_TU;07.06.2009-12:00;07.06.2009-12:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;13.06.2009-11:00;13.06.2009-17:00;7;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;27.07.2009-20:00;28.07.2009-02:00;7;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;29.07.2009-12:00;29.07.2009-15:00;4;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;19.08.2009-05:00;19.08.2009-05:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;06.09.2009-01:00;06.09.2009-01:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;19.09.2009-03:00;19.09.2009-03:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;07.10.2009-13:00;07.10.2009-13:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;21.10.2009-23:00;21.10.2009-23:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;02.11.2009-20:00;03.11.2009-03:00;8;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;14.11.2009-06:00;14.11.2009-13:00;8;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;22.11.2009-12:00;22.11.2009-18:00;7;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;10.12.2009-21:00;11.12.2009-05:00;9;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;11.12.2009-13:00;12.12.2009-05:00;17;;eor;                                                                                                                                          
2905;Lechfeld;TT_TU;31.12.2009-07:00;02.01.2010-05:00;47;;eor;                                                                                                                                          
2905;Lechfeld;TT_TU;12.01.2010-19:00;12.01.2010-19:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;21.01.2010-13:00;21.01.2010-13:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;05.02.2010-13:00;05.02.2010-13:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;06.03.2010-12:00;06.03.2010-13:00;2;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;13.03.2010-12:00;13.03.2010-19:00;8;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;20.03.2010-12:00;20.03.2010-19:00;8;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;21.03.2010-06:00;21.03.2010-19:00;14;;eor;                                                                                                                                          
2905;Lechfeld;TT_TU;10.04.2010-22:00;10.04.2010-22:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;15.04.2010-22:00;15.04.2010-22:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;17.04.2010-19:00;18.04.2010-04:00;10;;eor;                                                                                                                                          
2905;Lechfeld;TT_TU;08.05.2010-22:00;08.05.2010-22:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;19.05.2010-22:00;19.05.2010-23:00;2;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;18.06.2010-23:00;18.06.2010-23:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;19.06.2010-01:00;19.06.2010-01:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;21.06.2010-17:00;21.06.2010-18:00;2;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;22.06.2010-05:00;22.06.2010-05:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;23.06.2010-23:00;23.06.2010-23:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;10.07.2010-02:00;10.07.2010-02:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;15.07.2010-22:00;15.07.2010-22:00;1;;eor;                                                                                                                                           
